title_english,Action,Girls Love,Boys Love,Adventure,Avant Garde,Erotica,Gourmet,Slice of Life,Mystery,Horror,Drama,Award Winning,Sci-Fi,Fantasy,Supernatural,Comedy,Sports,Hentai,Suspense,Ecchi,Romance
Cowboy Bebop,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Cowboy Bebop: The Movie,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trigun,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Witch Hunter Robin,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Beet the Vandel Buster,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eyeshield 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Honey and Clover,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Hungry Heart: Wild Striker,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Initial D Fourth Stage,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Monster,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Naruto,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
One Piece,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Prince of Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ring ni Kakero 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
School Rumble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Desert Punk,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Texhnolyze,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Trinity Blood,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yakitate!! Japan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zipang,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Neon Genesis Evangelion,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Neon Genesis Evangelion: Death & Rebirth,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Neon Genesis Evangelion: The End of Evangelion,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Berserk,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
