title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Cowboy Bebop,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cowboy Bebop: The Movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trigun,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Witch Hunter Robin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,11
Beet the Vandel Buster,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Eyeshield 21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Honey and Clover,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Hungry Heart: Wild Striker,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6
Initial D Fourth Stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11
Monster,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11
Naruto,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
One Piece,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
The Prince of Tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Ring ni Kakero 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
School Rumble,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Desert Punk,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8
Texhnolyze,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Trinity Blood,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Yakitate!! Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Zipang,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Neon Genesis Evangelion,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Neon Genesis Evangelion: Death & Rebirth,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Neon Genesis Evangelion: The End of Evangelion,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Berserk,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
Ghost in the Shell,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Samurai X: Trust and Betrayal,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
Rurouni Kenshin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Samurai X: The Motion Picture,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Akira,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
.hack//Sign,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13
Oh! My Goddess,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Ah! My Goddess,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Angel Sanctuary,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3
Battle Doll Angelic Layer,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11
Ai Yori Aoshi,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Appleseed (Movie),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arc the Lad,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
Avenger,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Beck: Mongolian Chop Squad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11
Blue Gender,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Chobits,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3
Chrono Crusade,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3
