title_english,score,scored_by
!NVADE SHOW!,5.86,454.0
"""0""",4.68,2392.0
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",6.85,10725.0
"""Bungaku Shoujo"" Memoire",7.24,13759.0
"""Bungaku Shoujo"" Movie",7.33,28090.0
"""Calpis"" Hakkou Monogatari",4.67,345.0
"""Deji"" Meets Girl",6.15,10680.0
"""Eiji""",5.59,1372.0
"""Inochi Sketch"" Movie Jabow x Mameshiba Collab CM",5.21,123.0
"""Ippon"" again!",7.1,7968.0
"""Kinako"" Movie x Mameshiba",5.04,240.0
"""Kiss Dekiru Gyoza"" x Mameshiba Movie",4.55,305.0
"""LIP×LIP"" Interview Report by Hiyori Suzumi!",5.83,144.0
"""Parade"" de Satie",5.29,611.0
"""Pokemon Shirt Sizing"" Concept Movie",5.98,104.0
"""R100"" x Mameshiba Original Manners",4.7,337.0
"""Star""t",5.33,686.0
"""Stop! Piracy"" Sgt. Frog x No More Movie Thief",5.65,131.0
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",6.59,594.0
#Aqua Iro Palette,6.29,468.0
#Ima made de Ichiban Yokatta Sex The Animation,6.53,1886.0
"'Tis Time for ""Torture,"" Princess",7.27,20240.0
(OO),6.15,164.0
-OutsideR:RequieM-,5.39,646.0
......,6.49,352.0
.Koni-chan,7.28,2046.0
.hack//G.U. Returner,6.66,9574.0
.hack//G.U. Trilogy,7.07,15110.0
.hack//G.U. Trilogy: Parody Mode,6.35,4233.0
.hack//Gift,6.09,9851.0
.hack//Intermezzo,6.51,11374.0
.hack//Legend of The Twilight,6.55,35623.0
.hack//Legend of the Twilight Offline Meeting Special,6.1,4733.0
.hack//Liminality,6.58,16851.0
.hack//Quantum,7.12,20140.0
".hack//Quantum: Go, Our Chim Chims!!",6.31,2730.0
.hack//Roots,6.86,35684.0
.hack//Sign,6.94,85128.0
.hack//The Movie: Sekai no Mukou ni,7.04,7862.0
.hack//Unison,6.62,11636.0
.hack//Versus: The Thanatos Report,6.27,2585.0
0-sen Hayato,5.88,223.0
0-sen Hayato Pilot,5.68,140.0
0.4638888888888889,5.51,252.0
001,3.35,11531.0
009 Re:Cyborg,6.43,6916.0
009 Re:Cyborg x Zip,4.95,532.0
009-1,6.21,7467.0
009-1: R&B,6.27,2300.0
00:08,4.93,6391.0
07-Ghost,7.19,105411.0
1+2=Paradise,4.74,5169.0
1/100 RICE Planting,4.86,608.0
1/100 SHIBUYA Crossing,5.1,601.0
1/100 Train Station,5.07,612.0
100 Perfect Score☆Pax Salomena,5.85,149.0
100 Sleeping Princes and the Kingdom of Dreams,5.91,5048.0
100 Years of Work in Japan,5.93,349.0
100% Pascal-sensei,5.3,255.0
100% Renewable Energy,5.54,365.0
100% Teacher Pascal,5.65,1330.0
100-man no Inochi no Ue ni Ore wa Tatteiru Recap,6.29,1000.0
100-nichikan Ikita Wani,5.72,137.0
1000-mankai Hug Nanda,6.33,228.0
1000-nen Joou: Queen Millennia,6.73,1876.0
10000 Years Later,4.93,298.0
1001 Nights,6.29,5845.0
112 Sabsections of Skyline,5.07,392.0
11eyes,6.05,127828.0
11eyes Picture Drama,5.37,1768.0
11eyes: Momoiro Genmutan,6.01,23591.0
12-sai. 2nd Season,6.27,2340.0
12-sai.: Chicchana Mune no Tokimeki,6.4,16856.0
12-sai.: Chicchana Mune no Tokimeki 2nd Season,6.58,8455.0
123,4.58,286.0
15 Bishoujo Hyouryuuki,6.76,10405.0
15 Sonyeon Uju Pyoryugi,5.37,166.0
15 Step,5.73,209.0
"15-sai, Kyou kara Dousei Hajimemasu.",5.79,219.0
16bit Sensation: Another Layer,6.9,21559.0
18if,6.12,21677.0
19 Tian,6.54,513.0
1985,5.39,131.0
1989,5.53,956.0
1LDK + JK Ikinari Doukyo? Micchaku!? Hatsu Ecchi!!?,6.81,1013.0
2,4.2,457.0
2.43 Mini Anime: Fukui-ben Kouza,5.15,324.0
2.43 Mini Anime: Inside Story,5.17,344.0
2.43 Mini Anime: Volleyball Kouza,5.19,425.0
2.43: Seiin High School Boys Volleyball Team,6.14,45593.0
2.43: Seiin Koukou Danshi Volley-bu Mini Anime,5.3,434.0
2.5 Dimensional Seduction,7.29,4762.0
20-dai no Heya-hen,5.08,1073.0
2002-nen Halmeoni Ondo,4.59,274.0
2005,5.36,132.0
2005-nen Uchuu no Tabi,4.46,1508.0
2010,4.79,718.0
2020 Wonder Kiddy,5.49,141.0
21 Emon,6.15,671.0
21 Emon Uchuu e Irasshai!,5.63,376.0
21-Emon: To Space! The Barefoot Princess,6.1,414.0
21-ji no Onna: Newscaster Katsuragi Miki,5.75,1609.0
21-seiki,5.25,115.0
21-seiki Manga Hajimete Monogatari,5.83,164.0
22/7,6.79,17418.0
22/7: 8＋3=?,6.53,3520.0
23-ji no Saga Meshi Anime,5.73,134.0
23rd Japan Media Arts Festival Introduction,5.52,120.0
24H,4.67,458.0
"25-Year-Old High School Girl, I Wouldn’t Do This with a Kid",5.59,14656.0
